Group Type,Model,Conceptual model group,EMAX group(s),Notes
Focal,MAB,Clams Quahogs,Megabenthos filterers,
Focal,MAB,Demerals,"Sum of Demersals--omnivores, benthivores, and piscivores",
Focal,MAB,Medium Pelagics,Medium pelagics,
Focal,MAB,Forage,"Sum of Small pelagics--commercial, other, and anadromous",
Focal,MAB,Squids,Small pelagics--squids,
Focal,MAB,Protected Species,Sum of Baleen whales and Odontocetes,Seabifds not included in MAB EMAX
Focal,GB,Groundfish,"Sum of Demersals--omnivores, benthivores, and piscivores",
Focal,GOM,Groundfish,"Sum of Demersals--omnivores, benthivores, and piscivores",
Focal,GB,Protected Species,"Sum of Baleen Whales, Odontocetes, and Seabirds",Pinnipeds not included in GB EMAX
Focal,GOM,Protected Species,"Sum of Baleen Whales, Odontocetes, Pinnipeds, and Seabirds",
Focal,GB,Fished Inverts,Megabenthos filterers,
Focal,GOM,Fished Inverts,Megabenthos filterers,
Focal,GB,Forage Fish,"Sum of Small pelagics--commercial, other, anadromous, and squids",
Focal,GOM,Forage Fish,"Sum of Small pelagics--commercial, other, anadromous, and squids",
Focal,MAB,Commercial Fishery,Fishery,
Focal,GB,Commercial Fishery,Fishery,
Focal,GOM,Commercial Fishery,Fishery,
Linked,MAB,Copepods and Micronecton,"Sum of Copepods--small and large, and Micronekton",
Linked,MAB,Detritus and Bacteria,Sum of Bacteria and Detritus-POC,
Linked,MAB,Primary Production,Phytoplankton-Primary production,
Linked,MAB,Gelatinous zooplankton,Gelatinous zooplankton,
Linked,MAB,Benthos,Macrobenthos,
Linked,MAB,Sharks,,
Linked,GOM,Copepods and Micronecton,"Sum of Copepods--small and large, and Micronekton",
Linked,GB,Copepods and Micronecton,"Sum of Copepods--small and large, and Micronekton",
,,Benthos,,
,,Gelatinous zooplankton,,
