Community,Commercial Fishing Dependence,Recreational Fishing Dependence,Social Vulnerability,Gentrification Pressure,Sea Level Rise Risk,Species Vulnerability,Catch Composition Diversity
"Hampton Bays, NY",High,High,Low,MedHigh,Medium,Mixed,Moderate
"Montauk, NY",High,High,Medium,MedHigh,Medium,Mixed,High
"Barnegat Light, NJ",High,High,Medium,High,Low,High/Very High,Low
"Cape May, NJ",High,High,Medium,MedHigh,Medium,High/Very High,Low
"Beaufort, NC",High,High,MedHigh,Low,Low,Mixed,Low
"Wanchese, NC",High,High,Medium,Low,Medium,Mixed,High
"Point Lookout, NY",MedHigh,High,Low,MedHigh,Low,High/Very High,Low
"Belmar, NJ",MedHigh,High,Medium,Medium,Low,Moderate,Low
"Point Pleasant, NJ",MedHigh,High,Low,Medium,Medium,High/Very High,Moderate
"Waretown, NJ",MedHigh,High,Low,Medium,Low,Low,Low
"Ocean City, MD",MedHigh,High,Medium,Medium,Medium,Mixed,High
"Aurora, NC",MedHigh,High,MedHigh,Medium,Low,N/A,N/A
"Hatteras, NC",MedHigh,High,Medium,Low,N/A,Mixed,High
"Oriental, NC",MedHigh,High,Medium,Medium,Low,Mixed,Low
"Chincoteague, VA",MedHigh,High,Medium,Medium,High,Moderate,Moderate
"Wachapreague, VA",MedHigh,High,Medium,Medium,Low,High/Very High,Moderate
"Sea Isle City, NJ",MedHigh,MedHigh,Medium,MedHigh,Medium,Moderate,Low
"Bowers, DE",MedHigh,MedHigh,Medium,Medium,Low,N/A,N/A
"Hobucken, NC",MedHigh,MedHigh,Medium,Medium,N/A,Mixed,Low
"Swan Quarter, NC",MedHigh,MedHigh,MedHigh,Low,N/A,Mixed,Low
"Hampton, VA",MedHigh,MedHigh,MedHigh,Low,High,Moderate,Moderate
"Newport News, VA",MedHigh,MedHigh,MedHigh,Low,High,High/Very High,Low
